Plants;Bats;Lfru;ABH
Quiina macrophylla;D.watsoni;10;38
Trophis racemosa;D.watsoni;10;38
Vitex cooperi;D.watsoni;10.5;38
Byrsonima crispa;D.watsoni;11;38
Cordia bicolor;A.jamaicensis;11.5;57.05
Muntingia calabura ;A.jamaicensis;11.5;57.05
Cordia bicolor;A.lituratus;11.5;63.5
Clarisia mexicana;D.watsoni;12;38
Vitex gaumeri;A.jamaicensis;12.5;57.05
Vitex gaumeri;D.phaeotis;12.5;38.5
Plukenetia stipellata;D.watsoni;12.5;38
Virola sebifera;D.watsoni;12.5;38
Guettarda foliacea;A.jamaicensis;14;57.05
Coccoloba uvifera;A.jamaicensis;15;57.05
Coccoloba uvifera;A.lituratus;15;63.5
Laetia procera;D.watsoni;15;38
Sapindus saponaria;A.jamaicensis;17;57.05
Sapindus saponaria;A.lituratus;17;63.5
Quararibea asterolepis;A.jamaicensis;17.5;57.05
Syzygium cumini;A.jamaicensis;17.5;57.05
Thevetia gaumeri;A.jamaicensis;17.5;57.05
Quararibea asterolepis;A.lituratus;17.5;63.5
Syzygium cumini;A.lituratus;17.5;63.5
Simarouba amara;D.watsoni;17.5;38
Syzygium cumini;R.pumilio;17.5;33.45
Quararibea asterolepis;U. convexum;17.5;42
Clarisia biflora;A.jamaicensis;18;57.05
Clarisia biflora;A.lituratus;18;63.5
Pourouma minor;D.watsoni;18.5;38
Brosimum alicastrum;A.jamaicensis;19;57.05
Brosimum alicastrum;A.lituratus;19;63.5
Brosimum alicastrum;D.phaeotis;19;38.5
Brosimum alicastrum;D.tolteca;19;39.95
Brosimum alicastrum;D.watsoni;19;38
Brosimun alicastrum;U. convexum;19;42
Calophyllum brasiliense;A.jamaicensis;20;57.05
Calophyllum brasiliense;A.lituratus;20;63.5
Calophyllum brasiliense;D.watsoni;20;38
Rinorea deflexiflora;D.watsoni;22;38
Pseudolmedia glabrata;A.jamaicensis;22.5;57.05
Simarouba glauca;A.jamaicensis;22.5;57.05
Hernandia didymantha ;D.watsoni;22.5;38
Humiriastrum diguense ;D.watsoni;22.5;38
Protium panamense;D.watsoni;23;38
Iriartea deltoidea;D.phaeotis;23.5;38.5
Iriartea deltoidea;D.watsoni;23.5;38
Poulsenia armata;A.jamaicensis;24;57.05
Poulsenia armata;A.lituratus;24;63.5
Poulsenia armata;D.phaeotis;24;38.5
Poulsenia armata;D.watsoni;24;38
Virola koschnyi;D.watsoni;24;38
Anacardium excelsum;A.jamaicensis;25;57.05
Socratea exorrhiza;A.jamaicensis;25;57.05
Spondias mombin;A.jamaicensis;25;57.05
Spondias purpurea;A.jamaicensis;25;57.05
Spondias radlkoferi;A.jamaicensis;25;57.05
Anacardium excelsum;A.lituratus;25;63.5
Brosimum acutifolium;A.lituratus;25;63.5
Spondias mombin;A.lituratus;25;63.5
Spondias purpurea;A.lituratus;25;63.5
Spondias radlkoferi;A.lituratus;25;63.5
Anacardium excelsum;D.phaeotis;25;38.5
Spondias mombin;D.phaeotis;25;38.5
Spondias radlkoferi;D.phaeotis;25;38.5
Anacardium excelsum;D.watsoni;25;38
Maripa nicaraguensis;D.watsoni;25;38
Socratea exorrhiza;D.watsoni;25;38
Spondias mombin;D.watsoni;25;38
Spondias radlkoferi;D.watsoni;25;38
Spondias mombin;U. convexum;25;42
Spondias radlkoferi;U. convexum;25;42
Pouteria multiflora;A.jamaicensis;27;57.05
Pouteria multiflora;A.lituratus;27;63.5
Anacardium occidentale;A.jamaicensis;27.5;57.05
Manilkara bidentata;A.jamaicensis;27.5;57.05
Anacardium occidentale;A.lituratus;27.5;63.5
Manilkara bidentata;A.lituratus;27.5;63.5
Pholidostachys pulchra;D.watsoni;28;38
Abuta panamensis;D.watsoni;29.5;38
Melicoccus bijugatus;A.jamaicensis;30;57.05
Melicoccus bijugatus;A.lituratus;30;63.5
Astrocaryum confertum;D.watsoni;30;38
Symphonia globulifera;D.watsoni;30;38
Licania canescens;R.pumilio;30;33.45
Cynometra retusa;A.jamaicensis;31;57.05
Acrocomia aculeata;A.jamaicensis;32.5;57.05
Acrocomia aculeata;A.lituratus;32.5;63.5
Sacoglottis trichogyna;D.watsoni;32.5;38
Welfia regia;D.watsoni;32.5;38
Chrysobalanus icaco;A.jamaicensis;34;57.05
Chrysobalanus icaco;A.lituratus;34;63.5
Andira inermis;A.jamaicensis;35;57.05
Annona muricata;A.jamaicensis;35;57.05
Andira inermis;A.lituratus;35;63.5
Annona muricata;A.lituratus;35;63.5
Eriobotrya japonica;A.lituratus;35;63.5
Andira inermis;D.phaeotis;35;38.5
Andira inermis;U. convexum;35;42
Otoba novogranatensis;D.watsoni;37.5;38
Protium pittieri;D.watsoni;38.5;38
Diospyros digyna;A.jamaicensis;40;57.05
Syzygium jambos;A.jamaicensis;40;57.05
Diospyros digyna;A.lituratus;40;63.5
Syzygium jambos;A.lituratus;40;63.5
Chrysophyllum cainito;A.jamaicensis;45;57.05
Chrysophyllum cainito;A.lituratus;45;63.5
Clusia rosea;A.jamaicensis;47.5;57.05
Lucuma campechiana;A.jamaicensis;48;57.05
Dipteryx oleifera;A.jamaicensis;50;57.05
Dipteryx oleifera;A.lituratus;50;63.5
Maranthes panamensis;D.watsoni;50;38
Dipteryx oleifera;U. convexum;50;42
Dipteryx oleifera;U.bilobatum;50;41.95
Grias cauliflora;D.watsoni;64;38
Manilkara zapota;A.jamaicensis;55;57.05
Terminalia catappa;A.jamaicensis;55;57.05
Manilkara zapota;A.lituratus;55;63.5
Terminalia catappa;A.lituratus;55;63.5
Syzygium malaccense;A.jamaicensis;62.5;57.05
Syzygium malaccense;A.lituratus;62.5;63.5
Annona squamosa;A.jamaicensis;85;57.05
Annona squamosa;A.lituratus;85;63.5
